symbol,address,signal_price,entry_price,exit_price,pnl_pct,peak_pct,reason,signal_type,pushed_at,buy_score
fuck you,DLNaRFzyHxbWB6LgjVK6FG9gyREuJsxK1yDJoVqVbonk,6.804627267644333e-06,4.0827763605866e-06,3.26622108846928e-06,-0.19999999999999998,0.0,early_cut,dump_pump,2026-05-22 01:30:38.171250+08:00,75
DEPEG,5PWitZ99YDqyNdfYa4T9ZqeKH3uE3MqqBpFGRjPitGzg,1.1188106265316667e-05,6.7128637591900006e-06,8.970835764040794e-06,0.33636493840048515,0.5721940451770415,trailing_stop,dump_pump,2026-05-22 01:35:10.910400+08:00,75
BILLZ,6V1rcRMaw4bZ32DK9WrbG1k9FA2h9Yw64dv9v9ph1Y3x,0.00045901862088244745,0.00027541117252946845,0.0002803580869306433,0.01796192346062345,0.0,end_of_data,dump_pump,2026-05-22 01:39:09.057173+08:00,22
WURLDCAP,GWS1bhndwt5uoYm7hoYHzPx47JM1WErpXJJ1dKerpump,3.381021130535976e-05,0,0,0.0,0.0,layer2_no_entry,unknown,2026-05-22 01:44:49.561100+08:00,75
Gary,HmDbKdd7uoM8KSBuWdFq8B45yeeqti5KWKNXNm8apump,1.8810112919599572e-05,1.1286067751759743e-05,8.464550813819808e-06,-0.24999999999999997,0.0,hard_stop,dump_pump,2026-05-22 01:52:40.555569+08:00,50
MUSSI,2XUhYZpAZDXV4CyNNwchqAaPHi99WrBCt2q6Bzqgpump,1.0917753844808394e-05,0,0,0.0,0.0,layer2_no_entry,unknown,2026-05-22 01:53:05.893882+08:00,75
boop,GDvKjdMT2uLhdHQnVAk9cZ5EFipSthvAa4vGNYJLbonk,1.304947130433071e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 01:59:23.289823+08:00,50
MBUPPE,KMwn5gRSYr9W68vStjsFufbMp9e3BZNzYcKNStwpump,8.751654444108977e-06,5.250992666465386e-06,4.200794133172309e-06,-0.19999999999999996,0.0,early_cut,dump_pump,2026-05-22 02:05:07.851067+08:00,75
JASH,D7KPkvCzhmyVQPM3qWQ8g7LNjh94RbMrjZRjVhwJpump,5.120456518038538e-06,0,0,0.0,0.0,layer2_no_entry,unknown,2026-05-22 02:09:26.737245+08:00,35
USDSC,8EnHa8T5DBnsy3rTujNEcRGLCYBU8xsSfcCyUJuDpump,9.093832180046238e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 02:22:22.660841+08:00,55
CRCL,9YP7EVS5KbYrRJZD4WGZ9LrPurGAK1uQpgLkcdxDpump,3.0109970917046335e-05,1.8065982550227802e-05,1.3549486912670851e-05,-0.25,0.0,hard_stop,dump_pump,2026-05-22 02:31:54.685870+08:00,75
DICK,2nVJexz58gWj5M4FcZjYfqYwZw4AtiY5Gp2DzjRjpump,6.990867423641731e-06,0,0,0.0,0.0,layer2_no_entry,dump_pump,2026-05-22 02:36:05.270768+08:00,75
THORNYLOVE,39vhG8inwHiyNDsmByoRmtxxYeZeJqKJkZneFdRWpump,4.017998689848831e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 02:37:09.238953+08:00,75
Bank,2jCt3hj9vd7YpV7Sr3VA5nk3tdSpJtZezeoJXW4Xpump,0.00021146537998946503,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 02:41:04.278182+08:00,75
FOLK,6EPd8r6QLcMUGyEL2WgJv56w4sJJnungmz2kAbzzpump,6.655643127324843e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 02:53:44.403199+08:00,50
BRUYNU,DVEszQUTJ3b97cgcm5jgMVx7stVTgCMA7fPoYY5Epump,7.794151651091252e-06,4.676490990654751e-06,3.5073682429910636e-06,-0.24999999999999994,0.0,hard_stop,dump_pump,2026-05-22 03:05:50.205305+08:00,30
COMPUTEGPU,B51QUVCoSCrTTABokkpv2hFzRKcgV84QKA7JDQukpump,3.0215613743621427e-05,1.8129368246172856e-05,1.6729592467990174e-05,-0.07721040022882084,0.0,end_of_data,unknown,2026-05-22 03:14:50.840495+08:00,50
table,BJA4Ch9TmBUyUyFct5Vth3gaBMLrh3Kue4U2FmoJpump,8.730982707342851e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 03:15:08.323973+08:00,70
0,2L3BUMz3VKTNKiJn8YXbRG5cA2K5KfCimejCZzmk9gcj,5.377243832569514e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 03:15:44.883118+08:00,75
0,6dnZrMNPqAyH3ksZDHVygoNRyJtYxdP49V3PtfkUsqd8,8.38716465601931e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 03:17:17.516895+08:00,75
USDC,HziwD1Rn4Rtw1nJpyUNj9LWZ8K7rajDmNCMnkMSipump,8.2842429510062e-06,0,0,0.0,0.0,layer2_no_entry,dump_pump,2026-05-22 03:20:55.897089+08:00,75
USDC,Eyyd1d29L4dpuQ2JYfBQtoPUCLMej2su3P1FRjRqpump,1.453064056687246e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 03:29:13.429797+08:00,75
ANNA,FoNqrqimdWV8P2pt3kjXsAGstEvhx5NKDxx3VDHNpump,1.123130384967285e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 03:30:50.021545+08:00,75
ubc,3wJppbwtoQqipcVwS8HJCLWf5sTkv4U5QBhyBhq9pump,9.219889307182474e-06,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 03:39:07.730456+08:00,50
BUFFDON,CbyQSD5njpmhcEa8S3MczdF5xRHKT5NpyyceX285pump,0.0001910406096216753,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 03:40:29.421341+08:00,75
