Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources,Token1Multiplier,Token2Multiplier
53nurBg1M7iaWmzGMPGFyP4kmxvk2j47MBgVj3wR1aBWT99CN7Hxr6C9SxwRx3DYtN5dXYmSyCk96yn1GDheFMdP,1777444927,2026-04-29T06:42:07.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,499824111,6,So11111111111111111111111111111111111111112,5892402510,9,499.88,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF|9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp,1.0,1.0
5NhthxnkgvoNVmCcDbiFxd32h1rXA2AeNnHWcRthNHA5SDVotnrmGzdWxqunEXz1ACLLkV8jh8T1YdJcyj6FtiHj,1777444747,2026-04-29T06:39:07.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,So11111111111111111111111111111111111111112,7076083506,9,E95sJahssFKUk6jcWYbyfmjtcCsr4Z226HD9Qbjupump,688931643350,6,599.72,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,1.0,1.0
5NhthxnkgvoNVmCcDbiFxd32h1rXA2AeNnHWcRthNHA5SDVotnrmGzdWxqunEXz1ACLLkV8jh8T1YdJcyj6FtiHj,1777444747,2026-04-29T06:39:07.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,So11111111111111111111111111111111111111112,4716221333,9,E95sJahssFKUk6jcWYbyfmjtcCsr4Z226HD9Qbjupump,487789927761,6,399.72,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
5NhthxnkgvoNVmCcDbiFxd32h1rXA2AeNnHWcRthNHA5SDVotnrmGzdWxqunEXz1ACLLkV8jh8T1YdJcyj6FtiHj,1777444747,2026-04-29T06:39:07.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,999836294,6,So11111111111111111111111111111111111111112,11793472510,9,999.54,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||goonuddtQRrWqqn5nFyczVKaie28f3kDkHWkHtURSLE,1.0,1.0
5NhthxnkgvoNVmCcDbiFxd32h1rXA2AeNnHWcRthNHA5SDVotnrmGzdWxqunEXz1ACLLkV8jh8T1YdJcyj6FtiHj,1777444747,2026-04-29T06:39:07.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,999824569,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,999836294,6,999.83,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF,1.0,1.0
4AKFDqghvP5FfiUxaVwQS798Jgi1tLskb44qv36EU6LgmBKgEqPAQk22YctZ4EbTm96jtijBYH9veqKYi3eDEWzZ,1777444559,2026-04-29T06:35:59.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,So11111111111111111111111111111111111111112,1180242001,9,4UeLCRqARmfb6e6KQijtiktqqXUxbfk6jZng7DhuBAGS,27356815866720,9,100.05,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,1.0,1.0
4AKFDqghvP5FfiUxaVwQS798Jgi1tLskb44qv36EU6LgmBKgEqPAQk22YctZ4EbTm96jtijBYH9veqKYi3eDEWzZ,1777444559,2026-04-29T06:35:59.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,So11111111111111111111111111111111111111112,4720968003,9,4UeLCRqARmfb6e6KQijtiktqqXUxbfk6jZng7DhuBAGS,109706432761979,9,400.22,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,1.0,1.0
4AKFDqghvP5FfiUxaVwQS798Jgi1tLskb44qv36EU6LgmBKgEqPAQk22YctZ4EbTm96jtijBYH9veqKYi3eDEWzZ,1777444559,2026-04-29T06:35:59.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,500001952,6,So11111111111111111111111111111111111111112,5901210004,9,500.27,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||TessVdML9pBGgG9yGks7o4HewRaXVAMuoVj4x83GLQH,1.0,1.0
4AKFDqghvP5FfiUxaVwQS798Jgi1tLskb44qv36EU6LgmBKgEqPAQk22YctZ4EbTm96jtijBYH9veqKYi3eDEWzZ,1777444559,2026-04-29T06:35:59.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,499997556,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,500001952,6,500,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF,1.0,1.0
2XgxmKJcHpcaoMzZW4CepaQwVhmpb9AoLutNLAiLZ3e6DU5RZFZb8hciJDwHpszQmYdU2twU4YPe79vmMaHeqw76,1777444529,2026-04-29T06:35:29.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,So11111111111111111111111111111111111111112,5898925679,9,E95sJahssFKUk6jcWYbyfmjtcCsr4Z226HD9Qbjupump,738549030658,6,499.86,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
